prompt,urls
a close up of a plate of food with egg,http://images.cocodataset.org/train2017/000000465643.jpg
A skier that has just made a jump in the snow.,http://images.cocodataset.org/train2017/000000559948.jpg
A long haired dog walking through the grass in the back yard.,http://images.cocodataset.org/train2017/000000420914.jpg
A little girl sitting by a freshly made pizza.,http://images.cocodataset.org/train2017/000000490620.jpg
A partially made bed and a reading lamp,http://images.cocodataset.org/train2017/000000555571.jpg
A group of people standing outside of a food truck,http://images.cocodataset.org/train2017/000000535183.jpg
a man surfing a small wave on part of a river,http://images.cocodataset.org/train2017/000000127842.jpg
A man preparing food inside of a kitchen with a  small bird on his shoulder like snow white while wearing a cheap chefs hat.,http://images.cocodataset.org/train2017/000000469793.jpg
Sheep in the process of getting sheered of their wool,http://images.cocodataset.org/train2017/000000288465.jpg
A surfer curls to balance on his board atop the foamy white crest of a wave,http://images.cocodataset.org/train2017/000000006417.jpg
A man sits with his cat while he plays on his Wii.,http://images.cocodataset.org/train2017/000000324285.jpg
A piece of beef on a white plate with broccoli and spinach.,http://images.cocodataset.org/train2017/000000262654.jpg
there is a man that is holding a phone wearing a hat,http://images.cocodataset.org/train2017/000000097682.jpg
there is a elephant that has a red cape or cloth on its back,http://images.cocodataset.org/train2017/000000320796.jpg
There are two yellow lemons and five green lemons and also two oranges,http://images.cocodataset.org/train2017/000000042215.jpg
"A sandwich, carrots and strawberries in a lunch box.",http://images.cocodataset.org/train2017/000000301799.jpg
Two boats pulled ashore in the sand on a river bank.,http://images.cocodataset.org/train2017/000000346377.jpg
Two orange and white kittens sleeping in a pot.,http://images.cocodataset.org/train2017/000000292931.jpg
A couple of chairs and a large bed in a room.,http://images.cocodataset.org/train2017/000000213008.jpg
A picture of a person and a horse in the street.,http://images.cocodataset.org/train2017/000000455956.jpg
A man wearing a black hat and a red neck tie.,http://images.cocodataset.org/train2017/000000044508.jpg
A yellow white and green train traveling down train tracks.,http://images.cocodataset.org/train2017/000000155736.jpg
Hotdogs are cooking on a roaster with condiments arranged alongside.,http://images.cocodataset.org/train2017/000000554607.jpg
A bathroom with an odd shaped toilet next to a shower.,http://images.cocodataset.org/train2017/000000550527.jpg
Guy jumping over the railing while on his skateboard,http://images.cocodataset.org/train2017/000000522612.jpg
People at an airport carrying their luggage with them.,http://images.cocodataset.org/train2017/000000256529.jpg
Two large and one baby elephant walking through the marsh.,http://images.cocodataset.org/train2017/000000054728.jpg
A lady sitting at an enormous dining table with lots of food.,http://images.cocodataset.org/train2017/000000280819.jpg
A man standing in a  lush green field flying a kite.,http://images.cocodataset.org/train2017/000000551518.jpg
Elderly woman looking over boxed pastry items at outdoor venue.,http://images.cocodataset.org/train2017/000000144836.jpg
A group of people snowboarding in the mountains.,http://images.cocodataset.org/train2017/000000423588.jpg
A man brushing his teeth while taking a selfie.,http://images.cocodataset.org/train2017/000000463599.jpg
A group of palm trees with lots of bananas hanging from them.,http://images.cocodataset.org/train2017/000000199319.jpg
A man playign sports in the middle of a stadium,http://images.cocodataset.org/train2017/000000458632.jpg
A man holding a baseball bat during a baseball game.,http://images.cocodataset.org/train2017/000000505934.jpg
A male tennis player dressed in white making a serve.,http://images.cocodataset.org/train2017/000000563951.jpg
A street sign depicting the corner of TUDOR CITY PLACE and E 42 ST.,http://images.cocodataset.org/train2017/000000345711.jpg
A tall wooden pole with a Mcdonald's sign posted to it.,http://images.cocodataset.org/train2017/000000331642.jpg
A woman taking a swing at a ball on a tennis court.,http://images.cocodataset.org/train2017/000000487482.jpg
A power tool sitting on a wooden table next to a knife.,http://images.cocodataset.org/train2017/000000274398.jpg
A picture of a toaster painted on the side of a building.,http://images.cocodataset.org/train2017/000000439827.jpg
A woman taking a picture of a bottle with her phone.,http://images.cocodataset.org/train2017/000000533506.jpg
Three women interacting as they prepare meals in a kitchen.,http://images.cocodataset.org/train2017/000000323100.jpg
A group of people sitting on top of a white blanket next to a bar of chocolate.,http://images.cocodataset.org/train2017/000000134133.jpg
"Two people served steak , potatoes, and green beans.",http://images.cocodataset.org/train2017/000000204549.jpg
Plate of mixed colorful vegetables sitting on white table.,http://images.cocodataset.org/train2017/000000096473.jpg
a man on a skating board jumping very high,http://images.cocodataset.org/train2017/000000074166.jpg
Young boy sitting on top of a briefcase,http://images.cocodataset.org/train2017/000000329717.jpg
Several brown bears standing in the snow next to a green cage.,http://images.cocodataset.org/train2017/000000292435.jpg
Motorcyclist is taking a turn while onlookers observe,http://images.cocodataset.org/train2017/000000372413.jpg
A room full of laptops and video displays,http://images.cocodataset.org/train2017/000000434900.jpg
A herd of elephants walking across a field.,http://images.cocodataset.org/train2017/000000469343.jpg
A woman milks a cow in the grass with another cow and dog nearby.,http://images.cocodataset.org/train2017/000000437609.jpg
A green bowl with two ripe bananas in it.,http://images.cocodataset.org/train2017/000000004749.jpg
Three giraffes are feeding from white buckets that are hanging from a fence.,http://images.cocodataset.org/train2017/000000183701.jpg
A table with a couple of bears on it.,http://images.cocodataset.org/train2017/000000056250.jpg
A giraffe walking through a green grass covered field.,http://images.cocodataset.org/train2017/000000382399.jpg
A man cooks pizzas in a fire kiln.,http://images.cocodataset.org/train2017/000000142687.jpg
